lane,item_id,title,required_decision,current_status,required_reviewer,required_evidence,blocks_shared_staging,repository_boundary
legal_source_owner,SRC-CONSULT-036,How the Automotive & Transportation Industry Wor,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-037,How the Technology & Telecom Industry Works,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-038,How to Analyze a Biotechnology Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-039,How to Analyze a Chemicals Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-040,How to Analyze a Commercial Bank,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-041,How to Analyze a Consumer Packaged Goods Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-042,How to Analyze a Cosmetics Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-043,How to Analyze a Health Payor,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-044,How to Analyze a Healthcare Provider,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-045,How to Analyze a Hospitality Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-046,How to Analyze a Manufacturing Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-047,How to Analyze a Media & Entertainment Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-048,How to Analyze a Medical Devices Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-049,How to Analyze a Metals & Mining Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-050,How to Analyze a Pharmaceutical Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-051,How to Analyze a Property & Casualty Insurance C,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-052,How to Analyze a Retail Bank,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-053,How to Analyze a Retail Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-054,How to Analyze a Telecommunications Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-055,How to Analyze a Third Party Logistics Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-056,How to Analyze a Waste Management Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-057,"How to Analyze a Wine, Beer & Spirits Company",approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-058,How to Analyze an Aerospace & Defense Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-059,How to Analyze an Electricity Generation Company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-060,How to Find Clients,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-061,How to analyze a SaaS company,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-062,Library of Creativity Exercises 1st Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-063,Marketing Plan Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-001,McKinsey Approach to Problem Solving from Umbrex,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-011,Operational Due Diligence Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-064,Organizational Design Diagnostic Playbook First,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-065,PESTEL Analysis Playbook First Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-012,Post merger integration playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-066,Private Equity Board Member Handbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-003,Project Kickoff Toolkit from Umbrex,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-067,Project Management Office Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-005,Proposal template for a consulting project,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-006,RFP Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-068,Rapid IT Assessment Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-069,Sales Operations Diagnostic v3 2023 10 26,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-070,Search Engine Optimization Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-071,Strategic Planning Playbook First Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-072,Strategy Offsite Playbook,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-007,Supply Chain Diagnostic Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-073,Talent Management Diagnostic v2 2024 05 21,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-074,The Busy Consultant’s Mini MBA,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-013,The Umbrex Library of Functional Key Performance,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-015,The Umbrex Library of Industry Acronyms,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-075,Umbrex Branding Diagnostic Guide First Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-008,Umbrex Business Analytics Diagnostic Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-009,Umbrex Customer Experience Diagnostic Guide,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-076,Umbrex Field Guide to Change Management Framewor,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-077,Umbrex Field Guide to Sales Methodologies,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-014,Umbrex Library of Industry-specific KPIs,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-078,Umbrex Playbook for Corrective and Preventive Ac,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-079,Umbrex PowerPoint Template for Consultants Third Edition,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-080,Umbrex Product Management Diagnostic Guide First,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
legal_source_owner,SRC-CONSULT-081,Voice of the Customer Interview Guide First Ed,approve_internal_staging_retrieval_or_restrict,pending_review,legal_reviewer_and_source_owner_reviewer,filled legal/source-owner decision JSONL row; no raw source text,true,no raw source redistribution; no provider call; no live KB ingestion
security_operations,SEC-STG-001,Private ingress and network boundary approved,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,"approved VPN, internal reverse proxy, or localhost tunnel boundary; no public anonymous endpoint",true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-002,External secret storage approved,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,external secret store or local operator secret file outside the repository,true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-003,Bearer-token hash configured outside Git,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,KB_STAGING_AUTH_TOKEN_SHA256 configured in approved external runtime environment,true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-004,Append-only audit path configured outside repository,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,KB_STAGING_AUDIT_PATH points outside the repository with writable parent,true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-005,Audit retention and access policy approved,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,"retention period, access scope, and incident preservation rule recorded",true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-006,Rate limiting configured at private ingress or middleware,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,KB_STAGING_RATE_LIMIT_CONFIGURED asserted after operator config,true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-007,Rollback owner and stop procedure recorded,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,KB_STAGING_ROLLBACK_OWNER recorded externally and runbook stop procedure accepted,true,redacted status only; no secret values or private contact details
security_operations,SEC-STG-008,Operator roster and RBAC scope approved,approved_or_restrict,pending_review,security_reviewer_and_ops_reviewer,"approved reviewer/operator roles for retrieval_reader, reviewer, and admin scopes",true,redacted status only; no secret values or private contact details
