source_id,source_title,selection_status,selection_group,extraction_batch,duplicate_policy,license_status,owner_review_status,intake_status,selection_reason
SRC-CONSULT-011,Operational Due Diligence Playbook,selected,retained_all_extractable,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-012,Post merger integration playbook,selected,retained_all_extractable,batch-04-transaction-advisory,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-013,The Umbrex Library of Functional Key Performance,selected,retained_all_extractable,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-014,Umbrex Library of Industry-specific KPIs,selected,retained_all_extractable,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-015,The Umbrex Library of Industry Acronyms,selected,retained_all_extractable,batch-05-reference-data,not_duplicate,pending_legal_review,owner_reviewed,ready_for_poc,retained from previous all-extractable local expansion
SRC-CONSULT-016,B2B Go to Market Strategy Handbook,skipped,duplicate_secondary,batch-01-methodology-playbooks,secondary_to_pdf_duplicate,pending_legal_review,pending_review,registered,duplicate_secondary
SRC-CONSULT-017,B2B Go to Market Strategy Handbook,selected,retained_all_extractable,batch-01-methodology-playbooks,prefer_pdf_for_page_anchors,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-018,Business Plan Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-019,Busy Consultants Guide to PowerPoint,selected,retained_all_extractable,batch-01-delivery-craft,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-020,Career Services Guide to Consulting,selected,retained_all_extractable,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-021,Chief Strategy Officer Handbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-022,Company Culture Diagnostic Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-023,Competitive Intelligence Playbook v3 2024,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-024,Consumer & Retail,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-025,Create Your Own Internship,selected,retained_all_extractable,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-026,Email Deliverability Playbook First Edition,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-027,Executive Handover Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-028,Finance Department The Umbrex Diagnostic Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-029,Getting Started with Advanced Data Analysis in ChatGPT v2023 10 02,selected,retained_all_extractable,batch-05-reference-data,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-030,Patagonia and TNF jacket search,selected,csv_loader_addition,batch-05-reference-data,not_duplicate,pending_legal_review,pending_review,registered,selected after CSV row loader support
SRC-CONSULT-031,UNRATE,selected,csv_loader_addition,batch-05-reference-data,not_duplicate,pending_legal_review,pending_review,registered,selected after CSV row loader support
SRC-CONSULT-032,Healthcare & Life Sciences,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-033,How The Professional & Business Services Industr,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-034,How Waste Management & Sustainability Works,selected,retained_all_extractable,batch-99-needs-human-triage,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-035,How the Aerospace & Defense Industry Works,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-036,How the Automotive & Transportation Industry Wor,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-037,How the Technology & Telecom Industry Works,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-038,How to Analyze a Biotechnology Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-039,How to Analyze a Chemicals Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-040,How to Analyze a Commercial Bank,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-041,How to Analyze a Consumer Packaged Goods Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-042,How to Analyze a Cosmetics Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-043,How to Analyze a Health Payor,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-044,How to Analyze a Healthcare Provider,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-045,How to Analyze a Hospitality Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-046,How to Analyze a Manufacturing Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-047,How to Analyze a Media & Entertainment Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-048,How to Analyze a Medical Devices Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-049,How to Analyze a Metals & Mining Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-050,How to Analyze a Pharmaceutical Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-051,How to Analyze a Property & Casualty Insurance C,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-052,How to Analyze a Retail Bank,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-053,How to Analyze a Retail Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-054,How to Analyze a Telecommunications Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-055,How to Analyze a Third Party Logistics Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-056,How to Analyze a Waste Management Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-057,"How to Analyze a Wine, Beer & Spirits Company",selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-058,How to Analyze an Aerospace & Defense Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-059,How to Analyze an Electricity Generation Company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-060,How to Find Clients,selected,retained_all_extractable,batch-06-client-development,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-061,How to analyze a SaaS company,selected,retained_all_extractable,batch-03-industry-analysis,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-062,Library of Creativity Exercises 1st Edition,selected,retained_all_extractable,batch-99-needs-human-triage,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-063,Marketing Plan Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-064,Organizational Design Diagnostic Playbook First,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-065,PESTEL Analysis Playbook First Edition,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-066,Private Equity Board Member Handbook,selected,retained_all_extractable,batch-04-transaction-advisory,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-067,Project Management Office Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-068,Rapid IT Assessment Guide,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-069,Sales Operations Diagnostic v3 2023 10 26,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-070,Search Engine Optimization Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-071,Strategic Planning Playbook First Edition,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-072,Strategy Offsite Playbook,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-073,Talent Management Diagnostic v2 2024 05 21,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-074,The Busy Consultant’s Mini MBA,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-075,Umbrex Branding Diagnostic Guide First Edition,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-076,Umbrex Field Guide to Change Management Framewor,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-077,Umbrex Field Guide to Sales Methodologies,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-078,Umbrex Playbook for Corrective and Preventive Ac,selected,retained_all_extractable,batch-01-methodology-playbooks,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-079,Umbrex PowerPoint Template for Consultants Third Edition,selected,retained_all_extractable,batch-01-delivery-craft,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-080,Umbrex Product Management Diagnostic Guide First,selected,retained_all_extractable,batch-02-diagnostics,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
SRC-CONSULT-081,Voice of the Customer Interview Guide First Ed,selected,retained_all_extractable,batch-99-needs-human-triage,not_duplicate,pending_legal_review,pending_review,registered,retained from previous all-extractable local expansion
